Date,Open,High,Low,Close,Adj Close,Volume
9/1/2022,1464.75,1489.449951,1459,1472.150024,1455.458984,11201568
9/2/2022,1472.150024,1490.5,1465.199951,1485.5,1468.657593,6019043
9/5/2022,1486.099976,1499,1484.099976,1495.050049,1478.099365,6065966
9/6/2022,1498.900024,1506.650024,1486.449951,1489.349976,1472.463867,6119348
9/7/2022,1471.300049,1490,1471.300049,1482.300049,1465.493896,4888103
9/8/2022,1490.099976,1500,1482.150024,1497.599976,1480.620361,5582345
9/9/2022,1496.199951,1509,1494.050049,1498.599976,1481.609009,7564444
9/12/2022,1500,1504,1490,1493.550049,1476.616333,5540246
9/13/2022,1498.900024,1515.900024,1498.550049,1513.099976,1495.94458,6500983
9/14/2022,1494.050049,1538.900024,1492.349976,1528.650024,1511.318359,10109880
9/15/2022,1530,1540.949951,1512,1520.699951,1503.458496,6769686
9/16/2022,1503.099976,1514.699951,1483,1492.75,1475.825439,10280023
9/19/2022,1489,1514,1480,1502.599976,1485.563721,6038019
9/20/2022,1514,1524,1509.900024,1520.699951,1503.458496,5390834
9/21/2022,1508,1521.5,1505,1518.349976,1501.135132,4536152
9/22/2022,1502,1510.150024,1482.75,1486,1469.151855,6024072
9/23/2022,1472.349976,1475,1437,1446.150024,1429.753784,7903126
9/26/2022,1425.349976,1436.449951,1418,1426.650024,1410.474854,4461743
9/27/2022,1432.400024,1440,1407,1413.849976,1397.819946,6319850
9/28/2022,1406,1410.599976,1385.900024,1389.550049,1373.795532,5908066
9/29/2022,1396.300049,1402.199951,1378.800049,1382.349976,1366.677002,7205194
9/30/2022,1378.800049,1431.449951,1365,1421.349976,1405.234863,7890878
10/3/2022,1409.949951,1417.849976,1401.099976,1413.199951,1397.177246,5770556
10/4/2022,1429.5,1458,1426.150024,1453,1436.526123,5769263
10/6/2022,1459.949951,1462.599976,1434.199951,1437,1420.70752,6274599
10/7/2022,1430.25,1434.949951,1420.349976,1430.800049,1414.577759,6648997
10/10/2022,1408,1426,1398.199951,1415,1398.956909,6554651
10/11/2022,1401.099976,1417,1399.449951,1400.650024,1384.769653,7260810
10/12/2022,1403.199951,1414.849976,1397.300049,1409.800049,1393.815918,4612525
10/13/2022,1402.050049,1406.25,1384,1393.599976,1377.799561,7357117
10/14/2022,1417,1447,1415.25,1439,1422.684814,6424960
10/17/2022,1435,1457.599976,1427,1446.550049,1430.149292,9205250
10/18/2022,1458.050049,1462.900024,1440,1443.849976,1427.479736,5280554
10/19/2022,1464,1477.400024,1453.400024,1458.650024,1442.112061,6483520
10/20/2022,1444,1452.900024,1442.5,1448.800049,1432.373779,3949039
10/21/2022,1452,1457.650024,1434,1438.599976,1422.289307,5246303
10/24/2022,1454.300049,1463,1454.300049,1461.050049,1444.484863,1083897
10/25/2022,1461.099976,1467.800049,1445,1450.900024,1434.449951,6886697
10/27/2022,1464.5,1467.349976,1451.25,1454.400024,1437.910156,7968638
10/28/2022,1450,1467,1447.400024,1458.699951,1442.161377,5237139
10/31/2022,1472,1498,1467.25,1496.699951,1479.730591,6415264
11/1/2022,1503.5,1529,1498.900024,1513.25,1496.093018,9536878
11/2/2022,1517,1528.25,1511.599976,1514.199951,1497.032104,6360203
11/3/2022,1497.699951,1520.25,1497,1507.550049,1490.457642,5166176
11/4/2022,1503.199951,1516.099976,1489.599976,1497.150024,1480.175537,5409030
11/7/2022,1510,1512,1492.099976,1508.800049,1491.693481,4917917
11/9/2022,1515.050049,1517.949951,1504,1508.349976,1491.248535,4634895
11/10/2022,1497.099976,1527,1495.050049,1524.75,1507.462524,6387091
11/11/2022,1545,1637,1538,1611.150024,1592.883057,28361169
11/14/2022,1612,1628,1598,1615.050049,1596.73877,9597695
11/15/2022,1623.150024,1623.150024,1605.25,1619,1600.643921,5515101
11/16/2022,1618.650024,1642,1612,1632.900024,1614.386353,6789075
11/17/2022,1618.099976,1631.550049,1613.900024,1618.150024,1599.803589,6050465
11/18/2022,1621,1623,1605.25,1613.900024,1595.601807,5229616
11/21/2022,1607.650024,1612,1590.199951,1597.349976,1579.23938,4172408
11/22/2022,1600,1604.349976,1591,1595,1576.916138,4273157
11/23/2022,1605,1605,1594,1599.150024,1581.019043,5092869
11/24/2022,1605.949951,1632,1599.150024,1625.150024,1606.724243,8598980
11/25/2022,1629.699951,1631.699951,1614.099976,1617.650024,1599.309326,4205248
11/28/2022,1602.900024,1607.449951,1594.050049,1600.25,1582.106567,8052990
11/29/2022,1597.25,1612.349976,1592.849976,1597.849976,1579.733765,6319118
11/30/2022,1597.099976,1612.900024,1597.099976,1608.449951,1590.213501,7592403
12/1/2022,1622,1637,1615,1619.5,1601.138306,10223183
12/2/2022,1610,1618.599976,1605.150024,1607.099976,1588.878906,3905539
12/5/2022,1609.949951,1614.599976,1596.199951,1612.949951,1594.662476,5796311
12/6/2022,1601,1613.699951,1600,1611.150024,1592.883057,6176546
12/7/2022,1614.150024,1618.599976,1604.449951,1610.449951,1592.190918,5837360
12/8/2022,1610,1626,1605,1619.5,1601.138306,7401817
12/9/2022,1626,1634.849976,1620,1631.050049,1612.557373,5981692
12/12/2022,1625,1653.599976,1621.400024,1643.75,1625.113403,7217404
12/13/2022,1650,1657,1645,1648.300049,1629.611816,8515851
12/14/2022,1653,1665.5,1650,1662.25,1643.403564,7113820
12/15/2022,1657.050049,1669.400024,1627.050049,1631.800049,1613.29895,9091324
12/16/2022,1620.050049,1645.099976,1609,1639.650024,1621.059814,7323979
12/19/2022,1644,1646.650024,1626.199951,1644.75,1626.102051,4802271
12/20/2022,1620.199951,1636.400024,1620.199951,1633.400024,1614.880737,3587349
12/21/2022,1641,1644.800049,1606.550049,1617.599976,1599.259888,4634599
12/22/2022,1622.199951,1627.5,1609,1612.050049,1593.772827,4873548
12/23/2022,1587,1604.150024,1585.449951,1597.650024,1579.536011,5346576
12/26/2022,1599.5,1639,1590,1629.449951,1610.975464,4953661
12/27/2022,1633,1635.949951,1613.5,1631.099976,1612.606812,3963386
12/28/2022,1623.099976,1633,1623.099976,1629.800049,1611.321533,4345935
12/29/2022,1620.099976,1643.5,1611,1641.300049,1622.691162,5506448
12/30/2022,1645,1645,1620,1628.150024,1609.690308,3561320
1/2/2023,1627,1639.75,1618.550049,1628.699951,1610.234009,2190689
1/3/2023,1622.199951,1643,1622.199951,1639.349976,1620.763184,4189015
1/4/2023,1635,1645.75,1607,1610.050049,1591.795532,5175800
1/5/2023,1615,1618.050049,1589.400024,1599.699951,1581.562744,5470718
1/6/2023,1602,1609.099976,1578.199951,1594.400024,1576.322876,4546231
1/9/2023,1596,1611.550049,1590,1597.5,1579.387695,5364670
1/10/2023,1600,1600,1565,1568.300049,1550.518799,8185883
1/11/2023,1567.949951,1598,1560,1590.900024,1572.862549,7597899
1/12/2023,1587.800049,1603.900024,1584.150024,1599.400024,1581.266235,4625035
1/13/2023,1598.75,1609.900024,1586,1600.650024,1582.502075,4622273
1/16/2023,1615,1621.300049,1580.300049,1585.300049,1567.326172,7374047
1/17/2023,1589.800049,1611,1577.5,1608.900024,1590.658569,5393177
1/18/2023,1605,1641.599976,1599.699951,1637.300049,1618.736572,9545321
1/19/2023,1637,1650,1633,1644.099976,1625.459351,5586081
1/20/2023,1644.099976,1669,1643.400024,1660.949951,1642.118286,9421702
1/23/2023,1666.25,1682.599976,1661.400024,1673.099976,1654.130615,7722200
1/24/2023,1675.050049,1702.400024,1675,1695.5,1676.276611,12491970
1/25/2023,1691.400024,1692.949951,1645.300049,1648.650024,1629.957886,7352071
1/27/2023,1632,1637,1589.949951,1615.800049,1597.480347,17589974
1/30/2023,1595,1625.300049,1582,1614.150024,1595.848999,9256411
1/31/2023,1619.699951,1622.699951,1595,1603.5,1585.319702,9298122
2/1/2023,1624,1665,1606,1627.550049,1609.097046,8651395
2/2/2023,1608.099976,1624.5,1588.75,1603.349976,1585.171387,8748553
2/3/2023,1611,1660.5,1607,1658.800049,1639.992798,7205550
2/6/2023,1660,1669.400024,1646.199951,1651.75,1633.022705,5583836
2/7/2023,1659.400024,1664.900024,1632.599976,1654.199951,1635.444824,5132294
2/8/2023,1654.25,1668.199951,1650,1654,1635.247192,4222413
2/9/2023,1660,1661.650024,1635.550049,1650.550049,1631.836304,5888668
2/10/2023,1648.800049,1658.5,1642.199951,1657.099976,1638.312012,4086058
2/13/2023,1655,1661.75,1644.550049,1658.349976,1639.547852,2868472
2/14/2023,1665,1677.5,1657.949951,1673.699951,1654.723755,5454296
2/15/2023,1678,1678,1656.75,1670.300049,1651.362427,5719356
2/16/2023,1673.199951,1681.900024,1661,1664.25,1645.380981,4031250
2/17/2023,1661,1668.150024,1642.949951,1655.900024,1637.12561,4478135
2/20/2023,1660,1669.449951,1634.800049,1640.349976,1621.751831,4043353
2/21/2023,1640,1662.349976,1634,1646.5,1627.832153,6194648
2/22/2023,1639,1641.949951,1609.050049,1614.199951,1595.898315,5179551
2/23/2023,1613,1618.849976,1592.099976,1603.25,1585.07251,13941005
2/24/2023,1617.900024,1617.900024,1585.199951,1588.949951,1570.934692,8530870
2/27/2023,1585.900024,1599,1577.300049,1592.900024,1574.839966,7156486
2/28/2023,1592,1605.300049,1588.699951,1599.599976,1581.463867,9496996
3/1/2023,1612,1613,1595.75,1598.050049,1579.931519,7068628
3/2/2023,1594,1605.949951,1582,1584.449951,1566.485596,8695907
3/3/2023,1596,1620,1588,1615.900024,1597.579102,7493117
3/6/2023,1620,1639.449951,1618.050049,1627.300049,1608.849976,13502355
3/8/2023,1620,1639.5,1620,1630.550049,1612.06311,10049887
3/9/2023,1629.949951,1645.949951,1627,1630.699951,1612.211304,10350083
3/10/2023,1610.449951,1613.75,1585,1588.650024,1570.638062,13693500
3/13/2023,1587.900024,1603.800049,1564.949951,1568.550049,1550.765991,13221775
3/14/2023,1570.25,1583.599976,1559.300049,1564.349976,1546.613525,16592806
3/15/2023,1578,1582.900024,1536.599976,1541.900024,1524.418213,18632377
3/16/2023,1539,1559.099976,1532.050049,1551.900024,1534.30481,10876671
3/17/2023,1557.5,1579.199951,1540,1572.650024,1554.819458,11475438
3/20/2023,1567.949951,1568.099976,1545.400024,1561.75,1544.043091,13251557
3/21/2023,1571.949951,1582.5,1556.199951,1579.449951,1561.542358,16525247
3/22/2023,1584,1586.050049,1565.300049,1575.800049,1557.933838,7088662
3/23/2023,1567.75,1590.349976,1558.550049,1563.150024,1545.427246,14182089
3/24/2023,1560,1573.900024,1554.949951,1560.650024,1542.955566,15738874
3/27/2023,1562.199951,1579.449951,1558.900024,1567.449951,1549.678345,15936003
3/28/2023,1565.699951,1582.900024,1564.099976,1580.199951,1562.283813,19638151
3/29/2023,1584,1602,1581.900024,1587.800049,1569.797729,19881806
